                                                                                
                                                                                
Sample,aX,aY,az,Temp,gX,gY,gz                                                   
1,1632,-10448,11444,-1904,-217,-81,25                                           
2,1708,-10544,11264,-1904,-358,-115,-12                                         
3,1708,-10456,11360,-1840,-299,-183,-9                                          
4,1700,-10348,11500,-1872,-358,-159,-38                                         
5,1556,-10556,11300,-1856,-339,-126,-27                                         
6,1688,-10392,11424,-1888,-274,-145,2                                           
7,1700,-10388,11336,-1904,-457,-124,-92                                         
8,1644,-10424,11480,-1872,-282,-158,8                                           
9,1520,-10464,11532,-1888,-457,-102,-27                                         
10,1676,-10428,11472,-1872,-581,-161,-130                                       
11,1740,-10332,11428,-1888,-461,-114,-37                                        
12,1620,-10468,11476,-1888,-666,-130,-157                                       
13,1572,-10420,11464,-1872,-611,-207,-112                                       
14,1544,-10336,11456,-1872,-748,-191,-184                                       
15,1628,-10536,11492,-1872,-727,-173,-155                                       
16,1708,-10496,11288,-1856,-580,-204,-135                                       
17,1672,-10396,11472,-1872,-648,-155,-120                                       
18,1580,-10492,11276,-1872,-521,-104,-71                                        
19,1560,-10528,11348,-1888,-255,-92,59                                          
20,1632,-10808,11332,-1840,-438,-343,522                                        
21,1584,-10576,11428,-1872,-449,-221,233                                        
22,1540,-10396,11376,-1840,-395,-89,118                                         
23,1468,-10364,11452,-1872,-466,-87,-9                                          
24,1520,-10464,11476,-1872,-564,-114,-67                                        
25,1436,-10084,11500,-1840,-654,-410,236                                        
26,1772,-10404,11328,-1840,-597,-94,-118                                        
27,1520,-10472,11488,-1872,-424,-51,0                                           
28,1596,-10444,11444,-1888,-342,34,79                                           
29,1448,-10560,11528,-1872,-407,65,35                                           
30,1380,-10452,11524,-1888,-164,42,80                                           
31,1412,-10312,11484,-1872,-282,91,103                                          
32,1444,-10360,11592,-1888,-463,-55,-15                                         
33,1424,-10356,11564,-1856,-626,-132,-87                                        
34,1364,-10412,11336,-1856,-563,-206,-148                                       
35,1352,-10368,11316,-1872,-615,-250,-134                                       
36,1440,-10460,11456,-1840,-801,-275,-245                                       
37,1368,-10540,11408,-1856,-627,-199,-124                                       
38,1400,-10448,11340,-1872,-561,-194,-150                                       
39,1316,-10456,11528,-1872,-586,-204,-168                                       
40,1428,-10468,11452,-1888,-593,-224,-143                                       
41,1480,-10496,11552,-1840,-551,-186,-83                                        
42,1412,-10612,11368,-1872,-489,-114,-62                                        
43,1296,-10500,11420,-1840,-374,-186,-48                                        
44,1380,-10508,11496,-1904,-481,-205,-99                                        
45,1588,-10548,11676,-1872,-242,-329,-144                                       
46,1488,-10340,11456,-1840,-840,-187,-143                                       
47,1300,-10540,11380,-1856,-941,-179,-55                                        
48,1380,-10436,11260,-1856,-690,-172,-164                                       
49,1596,-10564,11440,-1872,-437,-232,-63                                        
50,1288,-10532,11356,-1840,-627,-242,-178                                       
51,1516,-10616,11516,-1856,-434,-329,-131                                       
52,1396,-10472,11452,-1872,-586,-108,-112                                       
53,1584,-10492,11388,-1904,-528,-171,-61                                        
54,1432,-10484,11360,-1872,-406,-192,-85                                        
55,1428,-10544,11296,-1904,-432,-186,-87                                        
56,1452,-10424,11500,-1840,-333,-206,-35                                        
57,1408,-10520,11316,-1856,-487,-137,-95                                        
58,1484,-10600,11460,-1824,-263,-131,41                                         
59,1352,-10488,11400,-1888,-372,-186,-55                                        
60,1516,-10480,11504,-1872,-410,-130,-9                                         
61,1360,-10308,11308,-1872,-287,-108,2                                          
62,1476,-10628,11456,-1840,-306,206,-325                                        
63,1376,-10364,11336,-1840,-325,-139,-24                                        
